epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,val_loss,val_acc,val_nlpd,val_ece,val_aece,val_raw_cov_99,val_sel_acc_99,val_reliable_99,val_cov_99,val_class_cov_99,val_raw_cov_95,val_sel_acc_95,val_reliable_95,val_cov_95,val_class_cov_95,val_raw_cov_90,val_sel_acc_90,val_reliable_90,val_cov_90,val_class_cov_90,val_raw_cov_85,val_sel_acc_85,val_reliable_85,val_cov_85,val_class_cov_85,val_raw_cov_80,val_sel_acc_80,val_reliable_80,val_cov_80,val_class_cov_80
1,0.09999725846827562,1.306814443947065,0.0,58777.5859375,0.0,0.0,1.0681455367734485,0.6959958076477051,1.065984845161438,0.05052932724356651,0.05071252102407188,0.19388830661773682,0.991847813129425,1.0,0.19388830661773682,0.5742574257425742,0.34562698006629944,0.9710366129875183,1.0,0.34562698006629944,0.7920792079207921,0.4114857614040375,0.9603073000907898,1.0,0.4114857614040375,0.8613861386138614,0.46364593505859375,0.9477272629737854,1.0,0.46364593505859375,0.9306930693069307,0.5115911364555359,0.9289392232894897,1.0,0.5115911364555359,0.9603960396039604
2,0.09998903417374229,0.9840663895748629,4.858314201051639e-06,94341.03125,6.081182164052734e-06,6.445957095709571e-11,0.945526564334793,0.7276080250740051,0.9434378743171692,0.02785627916455269,0.02804914825017887,0.18967333436012268,0.9944444298744202,1.0,0.18967333436012268,0.5742574257425742,0.3524762988090515,0.988041877746582,1.0,0.3524762988090515,0.7623762376237624,0.42939937114715576,0.9730061292648315,1.0,0.42939937114715576,0.900990099009901,0.48314014077186584,0.9509269595146179,1.0,0.48314014077186584,0.9207920792079208,0.5221285820007324,0.9394550919532776,1.0,0.5221285820007324,0.9603960396039604
3,0.0999753280182866,0.7986930183844991,1.5413886346620285e-05,143042.953125,1.844097459979821e-05,1.2891914191419143e-10,0.8351210017852462,0.758166491985321,0.83311927318573,0.022666318342089653,0.018412077514841387,0.19652265310287476,0.9946380853652954,1.0,0.19652265310287476,0.594059405940594,0.36037933826446533,0.9912280440330505,1.0,0.36037933826446533,0.7920792079207921,0.4436248540878296,0.9738717079162598,1.0,0.4436248540878296,0.900990099009901,0.5042149424552917,0.9571577906608582,1.0,0.5042149424552917,0.9405940594059405,0.549525797367096,0.9424736499786377,1.0,0.549525797367096,0.9702970297029703
4,0.09995614150494293,0.661780596369564,3.278650777670324e-05,194423.359375,3.759733954211697e-05,1.9337871287128714e-10,0.7533972373877988,0.7766069769859314,0.7513980269432068,0.02020961605012417,0.030548425475714455,0.20337197184562683,1.0,1.0,0.20337197184562683,0.5841584158415841,0.3814541697502136,0.9917126893997192,1.0,0.3814541697502136,0.8415841584158416,0.47312960028648376,0.9766147136688232,1.0,0.47312960028648376,0.9108910891089109,0.5337197184562683,0.9644619822502136,1.0,0.5337197184562683,0.9405940594059405,0.5837724208831787,0.9575812220573425,1.0,0.5837724208831787,0.9801980198019802
5,0.0999314767377287,0.5557283275198228,5.735534068662673e-05,249005.609375,6.42031809547916e-05,2.5783828382838285e-10,0.7003199662247749,0.7876712083816528,0.6984483599662781,0.025349963456392288,0.019375903902867822,0.23709167540073395,1.0,1.0,0.23709167540073395,0.693069306930693,0.4146469831466675,0.9911054372787476,1.0,0.4146469831466675,0.8316831683168316,0.5036880970001221,0.9780334830284119,1.0,0.5036880970001221,0.9207920792079208,0.5579557418823242,0.9688385128974915,1.0,0.5579557418823242,0.9702970297029703,0.6143308877944946,0.958833634853363,1.0,0.6143308877944946,0.9702970297029703
6,0.09990133642141359,0.4746248108325618,9.041691517646397e-05,309976.59375,9.990479156840593e-05,3.2229785478547854e-10,0.6646689569736557,0.8029505014419556,0.6629599928855896,0.014418824575841427,0.009098640263269021,0.2492096871137619,1.0,1.0,0.2492096871137619,0.6732673267326733,0.4320337176322937,0.9902439117431641,1.0,0.4320337176322937,0.8811881188118812,0.5205479264259338,0.9787449240684509,1.0,0.5205479264259338,0.9306930693069307,0.572181224822998,0.9677716493606567,1.0,0.572181224822998,0.9603960396039604,0.6275026202201843,0.9605373740196228,1.0,0.6275026202201843,0.9702970297029703
7,0.0998657238612229,0.4124426021434293,0.00013244456189712232,371810.4375,0.00014380045467987657,3.867574257425743e-10,0.6287025962539167,0.820337176322937,0.6269797086715698,0.020298179239034653,0.025204030743891374,0.25658586621284485,1.0,1.0,0.25658586621284485,0.6732673267326733,0.43940991163253784,0.9892086386680603,1.0,0.43940991163253784,0.8910891089108911,0.527924120426178,0.9820359349250793,1.0,0.527924120426178,0.9504950495049505,0.5848261117935181,0.9702702760696411,1.0,0.5848261117935181,0.9603960396039604,0.6296101212501526,0.9631799459457397,1.0,0.6296101212501526,0.9801980198019802
8,0.09982464296247523,0.3619408439291586,0.0001820489903393266,432061.90625,0.00019495368178468198,4.5121699669967e-10,0.6161758515932788,0.8108535408973694,0.6145039200782776,0.020044123753905296,0.022799096287113345,0.2586933672428131,1.0,1.0,0.2586933672428131,0.6732673267326733,0.45574289560317993,0.989595353603363,1.0,0.45574289560317993,0.900990099009901,0.5347734689712524,0.984236478805542,1.0,0.5347734689712524,0.9405940594059405,0.5969441533088684,0.9735216498374939,1.0,0.5969441533088684,0.9801980198019802,0.6496312022209167,0.9643146991729736,1.0,0.6496312022209167,0.9801980198019802
9,0.099778098230154,0.32793408130655194,0.0002384445425998973,489821.59375,0.0002525895251892507,5.156765676567657e-10,0.5844051869953143,0.8198103308677673,0.5827599167823792,0.0165028627961874,0.02003232008915932,0.27239200472831726,1.0,1.0,0.27239200472831726,0.6732673267326733,0.4641728103160858,0.9897843599319458,1.0,0.4641728103160858,0.9108910891089109,0.5505795478820801,0.9837320446968079,1.0,0.5505795478820801,0.9603960396039604,0.6059009432792664,0.9747825860977173,1.0,0.6059009432792664,0.9603960396039604,0.6601685881614685,0.9688746929168701,1.0,0.6601685881614685,0.9801980198019802
10,0.09972609476841367,0.2929746496795428,0.0003010148564607163,545419.8125,0.000316417746944353,5.801361386138614e-10,0.5599233868627076,0.832982063293457,0.5583964586257935,0.02062544971704483,0.01938337885290855,0.2813487946987152,1.0,1.0,0.2813487946987152,0.693069306930693,0.46680715680122375,0.9909706711769104,1.0,0.46680715680122375,0.9108910891089109,0.5616438388824463,0.9840525388717651,1.0,0.5616438388824463,0.9702970297029703,0.6164383292198181,0.9769230484962463,1.0,0.6164383292198181,0.9801980198019802,0.6659641861915588,0.9723101258277893,1.0,0.6659641861915588,0.9801980198019802
