epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,lambda_u,delta_par_sq_mean,delta_perp_sq_mean,alpha_mean,wBw_mean,var_logits_mean,var_logits_max,correction_abs_mean,val_loss,val_acc,val_nlpd,val_ece,val_aece,val_raw_cov_99,val_sel_acc_99,val_reliable_99,val_cov_99,val_class_cov_99,val_raw_cov_95,val_sel_acc_95,val_reliable_95,val_cov_95,val_class_cov_95,val_raw_cov_90,val_sel_acc_90,val_reliable_90,val_cov_90,val_class_cov_90,val_raw_cov_85,val_sel_acc_85,val_reliable_85,val_cov_85,val_class_cov_85,val_raw_cov_80,val_sel_acc_80,val_reliable_80,val_cov_80,val_class_cov_80
1,0.09999725846827562,1.2893011711611606,0.0,51752.68359375,0.0,0.0,1.9287498933537385e-22,2.250039737861087e-11,4.027533941552974e-05,1.6505038738250732,0.012216586619615555,3.889039086884357e-20,5.91481959354578e-20,0.0,1.283424068678041,0.6548998951911926,1.2811737060546875,0.09545114636421204,0.09541259646352902,0.19283455610275269,0.9836065769195557,0.0,0.0,0.0,0.33719703555107117,0.957812488079071,1.0,0.33719703555107117,0.7920792079207921,0.4188619554042816,0.9396226406097412,1.0,0.4188619554042816,0.8712871287128713,0.4757639765739441,0.911406397819519,1.0,0.4757639765739441,0.9306930693069307,0.5205479264259338,0.8755060434341431,1.0,0.5205479264259338,0.9504950495049505
2,0.09998903417374229,1.1870269869813825,3.36991275608033e-06,52775.8671875,3.4019096801785054e-06,6.445957095709571e-11,1.9287498933537385e-22,9.196412520395825e-10,0.0010533276945352554,1.6480486392974854,0.012218317948281765,3.8838045845705446e-20,6.067907460474617e-20,0.0,1.1953002243323372,0.6722866296768188,1.193082332611084,0.07785964757204056,0.07803000071654202,0.19968387484550476,0.9894459247589111,0.0,0.0,0.0,0.34193888306617737,0.964560866355896,1.0,0.34193888306617737,0.7920792079207921,0.4236038029193878,0.9452736377716064,1.0,0.4236038029193878,0.8910891089108911,0.4710221290588379,0.9228187799453735,1.0,0.4710221290588379,0.900990099009901,0.5168598294258118,0.8950051069259644,1.0,0.5168598294258118,0.9504950495049505
3,0.0999753280182866,1.0336075554979909,7.112565346669906e-06,56751.890625,7.3164051173080225e-06,1.2891914191419143e-10,1.9287498933537385e-22,1.9404030382474957e-08,0.004989959299564362,1.632717251777649,0.012217476963996887,3.8474099300879185e-20,5.909700121035901e-20,0.0,1.124050259590149,0.6886196136474609,1.1218703985214233,0.06277167797088623,0.06303710968589883,0.19336143136024475,0.9972752332687378,1.0,0.19336143136024475,0.5346534653465347,0.3461538553237915,0.9726027250289917,1.0,0.3461538553237915,0.8217821782178217,0.42781874537467957,0.9495074152946472,1.0,0.42781874537467957,0.8811881188118812,0.4805057942867279,0.9309210777282715,1.0,0.4805057942867279,0.9306930693069307,0.5221285820007324,0.9112008213996887,1.0,0.5221285820007324,0.9603960396039604
4,0.09995614150494293,0.903601328335186,1.1944026077303939e-05,64595.390625,1.2491374036471825e-05,1.9337871287128714e-10,1.9287498933537385e-22,1.1193974813750174e-07,0.01275569386780262,1.646996021270752,0.012217128649353981,3.880945641578408e-20,6.057900513767286e-20,0.0,1.0829369308322951,0.6907270550727844,1.0808066129684448,0.06103535369038582,0.061202381508870425,0.19283455610275269,0.9918032884597778,1.0,0.19283455610275269,0.594059405940594,0.3493150770664215,0.9773755669593811,1.0,0.3493150770664215,0.801980198019802,0.4251843988895416,0.9491945505142212,1.0,0.4251843988895416,0.8910891089108911,0.48155954480171204,0.9310722351074219,1.0,0.48155954480171204,0.9504950495049505,0.5258166193962097,0.9168336391448975,1.0,0.5258166193962097,0.9603960396039604
5,0.0999314767377287,0.7979802276828502,1.8553640804366475e-05,75718.5625,1.9523144146660343e-05,2.5783828382838285e-10,1.9287498933537385e-22,3.478665462353092e-07,0.023768479004502296,1.6446967124938965,0.012218010611832142,3.875807751375203e-20,6.069228364515288e-20,0.0,1.0538725394469042,0.6944151520729065,1.051717758178711,0.05954074487090111,0.0587730881285994,0.19704952836036682,0.9893048405647278,0.0,0.0,0.0,0.3530031740665436,0.9761193990707397,1.0,0.3530031740665436,0.8118811881188119,0.42465752363204956,0.9503722190856934,1.0,0.42465752363204956,0.9207920792079208,0.4805057942867279,0.9353070259094238,1.0,0.4805057942867279,0.9405940594059405,0.5305584669113159,0.9165838956832886,1.0,0.5305584669113159,0.9603960396039604
6,0.09990133642141359,0.7151637378305492,2.7377505794353092e-05,89490.34375,2.8842545361840166e-05,3.2229785478547854e-10,1.9287498933537385e-22,8.227413559325214e-07,0.0374034158885479,1.6353682279586792,0.012219218537211418,3.8542057358079245e-20,6.071879219884579e-20,0.0,1.0243284786463538,0.704952597618103,1.0221823453903198,0.05046264827251434,0.050648271032580586,0.19494204223155975,0.9891892075538635,0.0,0.0,0.0,0.34720757603645325,0.97420334815979,1.0,0.34720757603645325,0.801980198019802,0.42623814940452576,0.9530284404754639,1.0,0.42623814940452576,0.9207920792079208,0.4826132655143738,0.9377729296684265,1.0,0.4826132655143738,0.9306930693069307,0.5316122174263,0.9217046499252319,1.0,0.5316122174263,0.9405940594059405
7,0.0998657238612229,0.6449292337540353,3.862840706703834e-05,104887.8125,4.056614125147462e-05,3.867574257425743e-10,1.9287498933537385e-22,1.5760268752273987e-06,0.052647657692432404,1.6368863582611084,0.012222563847899437,3.8588395628253553e-20,6.065853726110013e-20,0.0,0.9913871962855815,0.7144362330436707,0.989310622215271,0.043330077081918716,0.042807711313848626,0.19863013923168182,0.9946949481964111,1.0,0.19863013923168182,0.5544554455445545,0.34404635429382324,0.9739663004875183,1.0,0.34404635429382324,0.8118811881188119,0.43256059288978577,0.9524969458580017,1.0,0.43256059288978577,0.9207920792079208,0.4868282377719879,0.9372294545173645,1.0,0.4868282377719879,0.9306930693069307,0.5363540649414062,0.9273084402084351,1.0,0.5363540649414062,0.9504950495049505
8,0.09982464296247523,0.5654491758582616,5.229563698821498e-05,121108.09375,5.464603236760013e-05,4.5121699669967e-10,1.9287498933537385e-22,2.648410600158968e-06,0.06870623677968979,1.6496295928955078,0.012224298901855946,3.889432643910173e-20,6.062823530881684e-20,0.0,0.9576521596868373,0.7276080250740051,0.9556360840797424,0.03805408999323845,0.03338416892685805,0.19704952836036682,0.9946523904800415,1.0,0.19704952836036682,0.5742574257425742,0.3508956730365753,0.9729729890823364,1.0,0.3508956730365753,0.801980198019802,0.43782928586006165,0.9530686140060425,1.0,0.43782928586006165,0.9207920792079208,0.49683877825737,0.9416754841804504,1.0,0.49683877825737,0.9405940594059405,0.5505795478820801,0.9282296895980835,1.0,0.5505795478820801,0.9702970297029703
9,0.099778098230154,0.49101754078770626,6.847954097279983e-05,138338.78125,7.133806502679363e-05,5.156765676567657e-10,1.9287498933537385e-22,4.244243427820038e-06,0.08576470613479614,1.6407103538513184,0.01222661230713129,3.869135376512226e-20,6.073143255258137e-20,0.0,0.9274375766547136,0.735511064529419,0.9254620671272278,0.030312957242131233,0.02980645363649905,0.19810326397418976,0.9946808218955994,1.0,0.19810326397418976,0.5742574257425742,0.3587987422943115,0.9750367403030396,1.0,0.3587987422943115,0.8217821782178217,0.4452054798603058,0.9550296068191528,1.0,0.4452054798603058,0.9306930693069307,0.5052686929702759,0.9436913728713989,1.0,0.5052686929702759,0.9603960396039604,0.562170684337616,0.9315838813781738,1.0,0.562170684337616,0.9801980198019802
10,0.09972609476841367,0.4331925883151517,8.740657502508695e-05,156505.9375,9.079475421458483e-05,5.801361386138614e-10,1.9287498933537385e-22,6.561054306075675e-06,0.10374962538480759,1.6417604684829712,0.012226908467710018,3.871706098759676e-20,5.899488964114846e-20,0.0,0.9044607464455704,0.7460484504699707,0.9024296402931213,0.023710820823907852,0.023822037481533085,0.19546891748905182,0.9946091771125793,1.0,0.19546891748905182,0.5841584158415841,0.36933615803718567,0.9786019921302795,1.0,0.36933615803718567,0.8514851485148515,0.45100104808807373,0.9602803587913513,1.0,0.45100104808807373,0.9306930693069307,0.5158061385154724,0.9448416829109192,1.0,0.5158061385154724,0.9603960396039604,0.5674394369125366,0.9359331727027893,1.0,0.5674394369125366,0.9900990099009901
